Казанский кафедральный собор;Казанская пл., д. 2
Храм Святой Троицы в деревне Кузнецова Гора;деревня Кузнецова Гора
Храм Воскресения Словущего г. Пикалево;Ленинградская обл., Бокситогорский р-н, г.Пикалево
Храм свт. Афанасия Александрийского в деревне Посад;Россия, Ленинградская область, Подпорожский район, деревня Посад.
Храм Алексия, человека Божия в г. Подпорожье;Ленинградская область, г.Подпорожье, ул. Больничная, д. 18
Часовня святого пророка Божия Илии в д. Горка;д. Горка Шамокшской волости, Лодейнопольского района
Храм Смоленской иконы Божией Матери «Одигитрия» в д. Пономарево;Россия, Ленинградская область, Лодейнопольский район, дер. Пономарево
Храм Илии пророка в д. Черное;Ленинградская обл., Кировский р-н, д. Черное, д. 84а
Храм во имя Тихвинской иконы Божией Матери в пос. Мга;
Храм Сретения Господня в посёлке Павлово;Ленинградская обл., Кировский р-н, п. Павлово, Ленинградский пр., 7
Храм мч. Самона Едесского в деревне Муя;Россия, Ленинградская обл., Кировский р-н, д. Муя
Храм Казанской иконы Божией Матери в селе Ушаки;Ленинградская область, Тосненский район, село Ушаки, ул. Парковая д.2
Молитвенное помещение в Городской Николаевской больнице №37 Санкт-Петербурга;Санкт-Петербург, Петродворцовый р-н, г. Петергоф, ул.Константиновская, д.1
Часовня святой мученицы Людмилы, княгини Чешской при кабинете медико-социально-психологической помощи на улице Мебельной;ул. Мебельная, д.25
Часовня прмцц. великой княгини Елисаветы и инокини Варвары при Елизаветинской больнице;195257, Санкт-Петербург, Калининский район, ул. Академика Байкова, д. 16, лит. Д, при морге
Часовня (молитвенная комната) св. блгв. кн. Ольги;194354, Санкт-Петербург, Выборгский р-н, Учебный пер., д. 5 на территории СПб ГУЗ «Городская многопрофильная больница № 2»
Храм св. вмч. Димитрия Солунского и прп. Марии Египетской при противотуберкулезном диспансере в г. Пушкине;г. Пушкин, Павловское шоссе, д. 14
Храм святителя Николая Чудотворца в Красном Селе (строится);г. СПб., Красносельский р-н, пересечение Красногородской ул. и Родниковой ул
Храм прп. Сергия Радонежского в Красном Селе (планируется);СПб., Красное Село, ул. Социалистическая, южнее д. 6, корп. 5, лит. А
Храм преподобномученицы Марии Гатчинской во Фрунзенском районе (планируется);г. Санкт-Петербург, Фрунзенский район
Часовня великомученика Георгия Победоносца на Серафимовском кладбище у мемориала воинам-афганцам;197183, г. Санкт-Петербург, Приморский р-н, Серафимовское кладбище
Великокняжеская усыпальница Петропавловского собора;Петропавловская крепость, д. 1.
Молельная комната в здании УМВД России по Невскому району;Санкт-Петербург, ул. Грибакиных, д. 5
Домовый храм во имя святого благоверного князя Александра Невского при музее А. В. Суворова (планируется);191015, СПб., ул. Кирочная, 43. Государственный мемориальный музей А. В. Суворова
Храм в честь иконы Божией Матери «Взыскание погибших» в районе пос. Торики (строится);Санкт-Петербург, пос. Торики, территория военного городка, напротив д. 17 по ул. Палитрука Пасичника
Молитвенное помещение на пр. Народного Ополчения;пр. Народного ополчения, д.181
Храм иконы Божией Матери «Знамения» Курско-Коренной в Красногвардейском районе;Санкт-Петербург, Красногвардейский р-н, ул. Коммуны, д. 17а.
Храм Рождества Пресвятой Богородицы в Красногрвардейском районе (планируется);Санкт-Петербург
Храм преподобного Силуана Афонского в Шушарах (планируется);г. Санкт-Петербург, Пушкинский р-н, п. Шушары, Московское ш.
Часовня Покрова Пресвятой Богородицы на улице Ленсовета;Санкт-Петербург, ул. Ленсовета, д. 105, лит. А
Домовой храм во имя святой блаженной Ксении Петербургской в частной православной школе Шостаковичей;В.О., 6-я линия, д. 15, лит. Д
Церковь Введения во храм Пресвятой Богородицы в деревне Хотово;187401, Ленинградская область, Волховский район, деревня Хотово
Домовой храм Андрея Первозванного в Военно-Морской академии;Санкт-Петербург, Ушаковская набережная, д.17/1
Часовня в честь иконы Божией Матери «Нерушимая стена» на территории Отдела специального назначения (базовый) «Тайфун» УФСИН России по г. Санкт-Петербургу и Ленинградской области;191123, СПб., Центральный р-н, ул. Захарьевская, д. 14
Свято-Троицкое Линтульское подворье Константино-Еленинского женского монастыря;
Храм святителя Николая Чудотворца на Сойкинском погосте;Ленинградская обл., Кингисеппский р-н, ур. Сойкино
Храм св. вмч. и целителя Пантелеимона в Детской инфекционной больнице № 5 им. Н.Ф. Филатова;192289, Санкт-Петербург, ул. Бухарестская, д. 134
Храм Успения Пресвятой Богородицы в Лукинском;Ленинградская обл., Кировский район, село Лукинское
Часовня Смоленской иконы Божией Матери в Лесколово;Ленинградская область, Всеволожский район, д. Лесколово, ул. Красноборская, д. 4 б.
Храм во имя Живоначальной Троицы в Кронштадте;г. Кронштадт, Кронштадское шоссе, дом 31, лит. А, пом.6-Н
Храм иконы Божией Матери «Неупиваемая Чаша» на Васильевском Острове;г. Санкт-Петербург, Васильевский Остров, 4-ая линия, д.25. При городской наркологической больнице
Храм св. прав. Иоанна Кронштадтского в Кронштадте;г. Кронштадт
Храм священномученика митрополита Серафима при отделе религиозного образования и катехизации;191167 Санкт-Петербург, наб. р. Монастырки, дом 1, Епархиальное Управление
Храм святого мученика Иоанна Воина в Петергофе (проектируется);юго-западнее пересечения ул. Юты-Бондаровской и Парковой ул.
Храм в честь Успения Божией Матери, священномученика Философа и мучеников Бориса и Николая Орнатских в Стрельне (строится);поселок Стрельна, Нижняя дорога
Храм прп. Сергия Радонежского в Военной академии связи имени С.М. Будённого (планируется);Санкт-Петербург, Тихорецкий проспект, д.3
Храм Рождества Пресвятой Богородицы п. Ленсоветовский Санкт-Петербурга (планируется);город Санкт-Петербург, п. Ленсоветовский
Храм страстотерпца царевича Алексия г. Петергофа (строится);Петергоф, предместье Знаменка, улица Чайковского, дом 13
Храм прп. Сергия Радонежского в Песочном (при онкоцентре);197758, Санкт-Петербург, посёлок Песочный, Ленинградская ул., 68a,
Храм святого благоверного князя Димитрия Донского г. Пушкина;Санкт-Петербург, г. Пушкин
Храм-часовня в Кудрово (строится);Ленинградская область, деревня Кудрово, Центральная улица, 12
Храм иконы Божией Матери «Отрада» или «Утешение» в Кудрово;Ленинградская область, Всеволожский район, поселок Кудрово, лесопарк Оккервиль
Храм иконы Пресвятой Богородицы "Августовская";угол улицы Ворошилова уч.13 (северо-восточнее дома № 19, корп. 2, литера А, по ул. Ворошилова)
Храм св. мц. Татианы в межвузовском студенческом городке;ул. Бассейная, д. 8
Храм святителя Иоанна Златоуста в Петергофе (планируется);город Петергоф, Старый Петергоф, Ульяновская улица
Часовня святых апостолов Петра и Павла и святителя Николая Чудотворца в сестрорецком парке "Дубки";Сестрорецк, парк "Дубки"
Храм Сошествия Святого Духа в Колпино;ул.Анисимова 5 (между улицей Анисимова и рекой Ижорой, пустырь южнее дома 5, корпус 7)
Приход храма Апостола Матфия и Покрова Пресвятой Богородицы;между Большой Пушкарской ул., ул. Ленина, Матвеевским пер. и Кронверкской улицей, на месте современного Матвеевского сада
Храм равноапостольной княгини Ольги в дер. Новое Девяткино (строится);деревня Новое Девяткино
Храм святых Петра и Февронии в Тосно;г. Тосно, Пересечение улиц Промышленной и Островского, напротив школы искусств
Храм в честь Всемилостивого Спаса на Кронштадтской площади (строится);198207, Санкт-Петербург, Кронштадтская пл., д. 2, литера A
Домовой храм святого благоверного великого князя Александра Невского в ЖК "Александр Невский";пр. Обуховской обороны д.138 корп.2 секция 3
Часовня святителя Луки, архиепископа Крымского, при детской поликлинике № 70;ул. Камышовая, 48, корп.2
Храм-колокольня святого благоверного князя Игоря Черниговского и Киевского в Токсово;188664 Ленинградская обл., Всеволожский район, п. Токсово, ул. Лыжная, дом 16.
Храм свт. Митрофана Воронежского на Митрофаньевском кладбище (планируется);пересечение Митрофаньевского шоссе и Малой Митрофаньевской ул.
Часовня святителя Николая на территории ГП «Адмиралтейские верфи». (Приписная к приходу храма Христа Спасителя (Спас-на-Водах) г. Санкт-Петербурга).;
Домовый храм св. вмч. Димитрия Солунского при Военной академии материально-технического обеспечения им. ген. армии А.В. Хрулева;199034, г. Санкт-Петербург, Военная академия материально-технического обеспечения им. ген. армии А. В. Хрулева, наб. Макарова, д. 8
Собор Введения во храм Пресвятой Богородицы лейб-гвардии Семеновского полка (планируется воссоздание);Территория Введенского сада между Загородным пр., Введенским кан. и Лазаретным пер
Храм во имя преподобного Серафима Вырицкого на территории ОАО «Большой Гостиный Двор»;
Часовня во имя преподобного Серафима Вырицкого на территории ОАО «Большой Гостиный Двор»;
Храм свмч. Вениамина, митрополита Петроградского и Гдовского в п. Янино-1;пос. Янино-1, ул. Новая
Скит св.ап. Андрея Первозванного с храмом свв. Прпп. Зосимы и Савватия Соловецких;Колтушская волость, вблизи д.Коркино, массив Генетика на Агафоновом лугу
Храм Происхождения Честных Древ Креста Господня в пос. Лисино-Корпус (подворье Новодевичьего монастыря);пос. Лисино-Корпус
Храм святителя Николая Чудотворца в Кобоне;деревня Кобона, улица Староладожский канал, 1-я линия, дом 1б
Часовня Андрея Первозванного;5-я Советская ул., 31-33, литера B
Архиерейское подворье храма Благовещения Пресвятой Богородицы;5-я Советская ул., 31-33, литера А
Староладожский Свято-Успенский девичий монастырь;с. Старая Ладога, Успенский переулок, Успенский монастырь
Храм Рождества св. Иоанна Предтечи в крепости Орешек;
Часовня-храм свв. Новомучеников российских на территории Петергофского учебно-научного комплекса (в проекте);198903, СПб, г. Петродворец, учебно-научный комплекс СПб гос. университета
Часовня в честь святителя Николая Чудотворца в дер. Воскресенское (в проекте);Ленинградская область, Волховский р-н, дер. Воскресенское
Храм в честь Успения Пресвятой Богородицы в Санкт-Петербургской Православной Духовной Академии;
Храм в честь святого благоверного великого князя Александра Невского в Конституционном Суде РФ;
Молитвенное помещение на территории городской инфекционной больницы № 30 им. Боткина;191167, г. Санкт-Петербург, ул. Миргородская, д.3
Часовня святых апостолов Петра и Павла при больнице Раухфуса;Санкт-Петербург, Лиговский пр., д. 8
Домовой храм в честь святой блаженной Ксении Петербургской в здании Епархиальной больницы;Санкт-Петербург, наб. Обводного канала, д. 19
Храм великомученика Димитрия Солунского на Греческой площади (планируется);Санкт-Петербург, Центральный район, Лиговский пр., д. 6.
Храм-часовня Рождества Пресвятой Богородицы (планируется);
Храм святителя Луки (Войно-Ясенецкого) на ул. Чугунной;г. Санкт-Петербург, ул. Чугунная, д. 46
Часовня во имя святого великомученика и целителя Пантелеимона в Санкт-Петербургском государственном бюджетном стационарном учреждении социального обслуживания «Дом-интернат ветеранов войны и труда “Красная звезда”»;Санкт-Петербург, Курортный район, п. Смолячково
Часовня-храм во имя св. блгв. князя Александра Невского при Академии права и бизнеса;Санкт-Петербург, пр. Маршала Жукова, дом 43, корп.2
Часовня во имя Софии Премудрости Божией в здании Городского Суда.;Санкт-Петербург, набережная реки Фонтанки, д. 16
Часовня в честь св. равноап. Царицы Тамары при учебном центре отряда милиции особого назначения (ОМОН) в Красном селе;Санкт-Петербург, Красносельский район, Красное Село, ул. Лермонтова, д. 30
Часовня-храм во имя св. прп. Сергия Радонежского в ГОУС(П)ОО Военно-космическом кадетском корпусе Петра Великого;197198, Санкт-Петербург, П.С., Большой пр., д. 1-А
Часовня в честь св. благоверного князя Александра Невского на территории войсковой части 61 240 в Красном Селе;198320, СПб, Красносельский район, Красное Село, ул. Свободы, д.65
Часовня свт. Иоасафа Белгородского Высшего Военного Училища радиоэлектроники;СПб, Пушкинский район, г. Пушкин, Кадетский Бульвар, 23
Храм Святителя Николая Чудотворца в Нахимовском Военно-Морском училище Мин. Обороны РФ (в проекте);Санкт-Петербург, Нахимовское Военно-Морское училище
Домовый храм-часовня во имя святой мученицы Зинаиды;Санкт-Петербург, ул. Сегалева, д. 10
Храм Святителя Николая Чудотворца в Балтийском Государственном Техническом университете им. Д.Ф. Устинова (ВОЕНМЕХ);190005, Санкт-Петербург, Адмиралтейский район, 1-я Красноармейская ул., д.1
Молитвенное помещение в честь св. мч. Иоанна Воина на территории учебного батальона;Санкт-Петербург, Красносельский район, г. Красное Село, на территории учебного батальона Военно-Медицинской Академии
Храм-часовня во имя св. Архистратига Божьего Михаила на территории 54-ого Корпуса 6-й Армии ВВС и ПВО Ленинградского Военного Округа пос. Хвойный;Санкт-Петербург, Красносельский район, пос. Хвойный, в/ч 10953
Храм св. Димитрия Донского при Университете МВД РФ;улица Летчика Пилютова, д. 1Б
Домовая церковь в честь свв. равноапп. царя Константина и матери его царицы Елены при Военно-космической академии им. А.Ф. Можайского;ул. Красного Курсанта, д. 21
Церковь в честь св. преп. Сергия Радонежского в Суворовском военном училище МВД РФ;ул. Кронштадтская, д. 3
Храм-часовня св. праведного воина Феодора Ушакова в г. Кронштадте при Морском кадетском корпусе;197760, СПб, Кронштадтский район, г. Кронштадт, Морской кадетский корпус
Храм Августовской иконы Пресвятой Богородицы в посёлке Бугры;188660, Ленинградская область, Всеволожский район, поселок Бугры, ул. Шоссейная 2-Б
Храм святителя Николая на территории Морского вокзала;199106, Санкт-Петербург, Василеостровский район, пл. Морской славы, д. 1.
Храм Покрова Пресвятой Богородицы (покровительницы Воинства Российского)(планируется);улица Ворошилова, участок 1 (северо-восточнее дома № 19, корп. 2, литера А, по ул. Ворошилова)
Храм в честь преп. Сергия Радонежского при Северо-западном филиале Российской академии правосудия;Санкт-Петербург, Александровский парк, д. 5, Лит. А
Храм во имя святителя Спиридона Тримифунтского в здании Адмиралтейства в штабе ВМФ РФ г. Санкт-Петербурга;Санкт-Петербург, Адмиралтейская набережная д. 2
Молитвенное помещение при ФГУ "Федеральный центр сердца, крови и эндокринологии им. В.А. Алмазова" в честь св. Евгения Трапезунского;Санкт-Петербург, ул. Аккуратова, д. 2
Часовня в честь св. преп. Марка Пещерника на старом Колпинском кладбище;Санкт-Петербург, г.Колпино, городское кладбище
Храм Святой Живоначальной Троицы в Павловске;г. Павловск, ул. Конюшенная, дом 11
Часовня Благовещения Пресвятой Богородицы на Кузьминском кладбище г. Пушкин;Санкт-Петербург, г. Пушкин, Петербургское шоссе, Кузьминское кладбище
Часовня на городском кладбище Павловска;196620, СПб, г. Павловск, гор. кладбище
Храм Воскресения Христова в посёлке Металлострой (планируется);пос. Металлострой
Храм Архистратига Михаила в Славянке;посёлок Шушары, район Славянка, улица Ростовская, д. 11а
Церковь Рождества Пресвятой Богородицы (в бывшей Николаевской гимназии);Адрес: 196602, СПб, г. Царское Село, ул. Набережная, д. 12/66
Храм во имя иконы Божией Матери «Всех скорбящих Радость» при Детском туберкулезном санатории «Дружба»;196602, СПб, г. Царское Село, ул. Леонтьевская, д. 35
Храм свт. Спиридона Тримифунтского в посёлке Детскосельский;196634, Санкт-Петербург, п. Шушары, Детскосельский, ул. Центральная, 17, лит. А.
Мемориальная часовня на Лахтинском кладбище;Санкт-Петербург, ул. Красных партизан, д. 6
Часовня иконы Божией Матери «Всех Скорбящих Радость» на территории учебно-курсового комплекса Банка России (пос. Парголово);Санкт-Петербург, пос. Парголово, Осиновая роща, ул. Межозерная, д. 2.
Часовня во имя Святой Троицы в посёлке Ольгино;посёлок Ольгино, ул. Лесная, д. 62
Храм во имя Иверской иконы Божией Матери в квартале «Новая Скандинавия» (планируется));Шувалово-Озерки, Береговая ул., жилой квартал «Новая Скандинавия»
Храм святых благоверных князей Петра и Февронии чудотворцев Муромских;улица Репищева, дом 14
Храм иконы Божией Матери «Всецарица» (планируется);улица Репищева
Домовой храм святителя Луки (Войно-Ясенецкого) при Детском Хосписе;ул. Бабушкина, д. 56, корп. 3 (здание бывшей Куракиной дачи)
Храм в честь архиепископа Луки Войно-Ясенецкого;ул.Сикейроса, д.14 к.2
Храм святого преподобного Сергия Радонежского в Приморском районе (планируется);Санкт-Петербург, Приморский район, на углу Школьной улицы и улицы Савушкина
Храм в честь Воздвижения Честнаго и Животворящего Креста Господня в Приморском районе;улица Нижне-Каменская, дом 6
Храм Сошествия Святаго Духа на Апостолов на Долгоозерной улице;на пересечении ул. Долгоозерной и ул. Планерной
Часовня-храм св. равноап. вел. кн. Ольги при детской больнице св. равноап. вел. кн. Ольги;ул. Земледельческая, д. 2, кор. 3
Часовня в честь св. вмч. и целителя Пантелеимона при 1-ой Пожарной части;ул. Мичуринская, д.5
Часовня св. Марии Магдалины при Детской гор. больнице № 2 св. равноап. Марии Магдалины на Васильевском острове;Санкт-Петербург, 2-я линия В.О., д. 47
Молитвенное помещение в онкологическом диспансере на проспекте Ветеранов;проспект Ветеранов, дом 56
Храм иконы Божией Матери «Целительница» при онкологическом диспансере (планируется);Санкт-Петербург, пр. Ветеранов, д. 56
Храм иконы Божией Матери «Всецарица» при онкологическом диспансере (планируется);Санкт-Петербург, пр. Ветеранов, д. 56
Храм Святого Великомученика Георгия Победоносца на Васильевском острове;Санкт-Петербург, ул. Мичманская
Домовой храм свв. апп. Петра и Павла Большого Петергофского дворца;Петродворец, Нижний парк, литер «А», Большой Петергофский дворец.
Храм святых благоверных князя Петра и княгини Февронии в Старом Петергофе;город Петергоф, пер. Ломоносова, д. 8, лит. А (дача Калмыкова)
Церковь Введения во храм Пресвятой Богородицы Свято-Владимирской школы при Воскресенском Новодевичьем монастыре;Санкт-Петербург, Московский проспект, 104
Дворцовый храм св. вмч. Пантелеимона в музее-заповеднике «Ораниенбаум»;Дворцовый проспект, дом 48
Домовой храм св. блаженной Ксении Петербургской в Доме-интернате № 1 для детей с отклонениями в умственном развитии;198517, СПб, г. Петродворец, ул. Воровского, д.12, Дом-интернат № 1
Храм иконы Божией Матери «Утоли моя печали» посёлка Мартышкино (разрушенный);город Ломоносов, поселок Мартышкино, Морская ул., уч. 1 (юго-восточнее пересечения с Лесной ул.)
Храм иконы Божией Матери «Утоли моя печали» посёлка Мартышкино (планируется);город Ломоносов, посёлок Мартышкино, Морская ул., уч. 1 (юго-восточнее пересечения с Лесной ул.)
Приход Святителя Игнатия Брянчанинова в Старом Петергофе;город Старый Петергоф, Ораниенбаумское шоссе, дом 11 литер A
Часовня в честь Иверской иконы Божией Матери;196158, Санкт-Петербург, Московское шоссе, д. 3
Храм Преображения Господня в Московском районе (планируется восстановление);Московский пр., д. 121 (угол ул. Глеба Успенского).
Домовая церковь во имя прп. Евфросинии Полоцкой в реабилитационных мастерских при Кировском районном обществе инвалидов;Санкт-Петербург, пр. Стачек, д. 74
Храм в честь иконы Пресвятой Богородицы «В родах Помощница» при родильном доме № 6 им. проф. Снегирева В. Ф.;191014, Санкт-Петербург, ул. Маяковского, д. 5
Домовая церковь святителя Николая Чудотворца в здании «Детской инфекционной больницы № 5 им. Н.Ф. Филатова»;192289, Санкт-Петербург, ул. Бухарестская, д. 134
Храм святого преподобного Герасима в Купчине;Санкт-Петербург, Фрунзенский р-н, западнее ул. Димитрова и Белгородской
Храм св. прав. Иоанна Русского в Ульянке (проектируется);ул.Солдата Корзуна, участок 1 (севернее дома 89 корпус 4, литера А по пр.Ветеранов)
Храм Казанской иконы Божией Матери в Купчино (строится);проспект Славы, участок 1, (северо-восточнее дома 52, корпус 1, литера А, по проспекту Славы)
Храм Сошествия Святого Духа за Невской заставой (планируется восстановление);г. СПб., Невский р-н, пер. Матюшенко, участок 1 (напротив дома №10 лит. А)
Храм св. вмч. Димитрия Солунского на улице Димитрова;СПб, Фрунзенский р-н, юго-западнее пересечения ул. Димитрова и ул. Софийской
Храм святых Двунадесяти апостолов Петроградской Духовной Академии;набережная Обводного канала, 7
Храм св. прав. Симеона Богоприимца в Скачках;г. Красное Село, ул. Бабушкина, дом 1
Часовня иконы Божией Матери "Всех скорбящих Радость" в Гериатрическом центре СПб ГБУЗ "Городская больница Святого Праведного Иоанна Кронштадтского" г. Кронштадта;Санкт-Петербург, Кронштадт, ул. Комсомола, д. 14/16
Храм-часовня свв. блгвв. кнн. Петра и Февронии (планируется);СПб, ул. Пионерстроя, между домами 15/1 и 17/1
Храм сщмч. Фаддея архиепископа Тверского в Горелово;посёлок Горелово, улица Коммунаров, дом 145.
Храм-часовня в честь Тихвинской иконы Божией Матери в Кронштадте;Санкт-Петербург, г. Кронштадт, на пересечении ул. Ленина и Советской.
Храм святого равноапостольного князя Владимира в Красносельском районе (проектируется);Санкт-Петербург, Красносельский район, на пересечении ул. адм. Черокова и пр. Патриотов
Храм Богоявления Господня Красносельского района;зем. участок по ул. Маршала Казакова, напротив д. 38, корп. 1, лит. А (у «Юноны»)
Храм Всех святых на Юго-Западе (планируется);пр. Героев, (северо-восточнее пересечения с ул. М. Казакова)
Часовня преподобномученицы Марии Гатчинской на Балтийском вокзале.;г. Санкт-Петербург, Обводный канал, д. 120, лит. П
Храм-часовня свт. Митрофана Воронежского на Митрофаньевском кладбище;Митрофаньевское шоссе, дом 4-6-8.
Часовня святого праведного Иоанна Кронштадтского при Городском Центре по профилактике и борьбе СПИДом и инфекционными заболеваниями;190020 СПб, ул. Бумажная д.12
Часовня-храм Святителя Николая в Психиатрической больнице;190121, г. Санкт-Петербург, наб. р. Мойки, д. 126
Храм Святителя и Чудотворца Николая при СИ-4 для несовершеннолетних;г. Санкт-Петербург, ул. Лебедева, 39
Храм-часовня Святителя Николая при ИЗ 47-6 пос. Горелово;Санкт-Петербург, пос. Горелово
Храм-часовня в честь св. мц. Царицы Александры в Федеральном Государственном лечебно-профилактическом учреждении «Больница имени Ф.П. Гааза»;Санкт-Петербург, ул. Хохрякова, д. 1
Часовня свт. Николая Чудотворца в Центре парусного спорта;Центр парусного спорта («Яхтенный порт «Геркулес», «Лахта центр»)
Часовня прп. Серафима Саровского в Песочном у источника;189646, г. Санкт-Петербург, пос. Песочный, ул. Мельничная, д.32
Храм в честь Сошествия Святого Духа на Апостолов поселка Комарово;пос.Комарово, ул. Привокзальная, уч.9
Домовый храм святых благоверных Петра и Февронии в п. Солнечное;поселок Солнечное, Приморское шоссе, 364а
Храм иконы Божией Матери «Скоропослушница» в Славянке;г. Санкт-Петербург, поселок Шушары, район Славянка, ул. Ростовская.
Храм во имя свт. Спиридона Тримифунтского на территории предприятия ООО «НеваРеактив»;195043, г. Санкт-Петербург, Капсюльное шоссе, д. 45, на территории предприятия ООО «НеваРеактив»
Храм святителя Василия Великого в «Доме милосердия» (строится);г. Санкт-Петербург, Выборгский район, ул. Сантьяго-де-Куба, участок 1 (северо-западнее дома N 5, литера А, по ул.Сантьяго-де-Куба)
Молитвенное помещение в честь св. блаж. старицы Матроны Московской на территории городской туберкулезной больницы № 2;Адрес: Санкт-Петербург, Выборгский район, гор. Туберкулезная больница № 2
Часовня свт. Луки архиеп. Крымского при НИИ травматологии и ортопедии им. Вредена;195427, г. Санкт-Петербург, Выборгский район, ул. Академика Байкова, д.8
Храм Рождества Христова на Пискаревском проспекте (строится);195067, г. Санкт-Петербург, Красногвардейский район, Пискаревский пр., 41
Храм Сретения Господня в Выборгском районе (планируется);ул. Шишкина, уч-к 18, лит. А по ул. Старожиловской
Часовня в честь свт. Николая в Деловом центре «Кристалл»;Санкт-Петербург, Невский р-н, ул. Седова, д. 37, лит. А, ДЦ «КРИСТАЛЛ».
Храм св. Великомученика и Победоносца Георгия при СПб гос. технологическом институте (техническом университете) (планируется воссоздание);190013, г. Санкт-Петербург, Московский пр., д. 26
Собор во имя святых Жен-Мироносиц на проспекте Косыгина (планируется);Санкт-Петербург, пр. Косыгина, в районе парка Малиновка
Церковь св. мц. Татианы (в бывшей Ларинской гимназии);Санкт-Петербург, В.О., 6-я линия, д. 15
Храм святого апостола и евангелиста Луки на Петроградской стороне (планируется);ул. Льва Толстого, д. 6-8, лит. Я
Церковь иконы Божией Матери «Знамение» в Царском Селе;г.Пушкин, Садовая улица, 2-а
Храм святителя Алексия Митрополита Московского при Санкт-Петербургском госпитале ветеранов войн;улица Народная, дом 21к2 Я
Храм в честь святого Павла Исповедника (архиепископа Константинопольского) и святого праведного воина Феодора Ушакова в Морском корпусе Петра Великого;г.Санкт-Петербург, набережная Лейтенанта Шмидта (бывшая Николаевская) д.17
Храм Всех святых, в земле Санкт-Петербургской просиявших в Левашово;пос. Левашово, Горское шоссе, 143. (Левашовское мемориальное кладбище)
Храм святого апостола Андрея Первозванного на Заневском проспекте (Храм рыбаков);г. Санкт-Петербург, Заневский пр., д.65, к.2
Храм Всех Святых на Б.Десятинной улице в память воинов, погибших при исполнении служебного долга;Санкт-Петербург, Приморский район, ул. Большая Десятинная, д. 22
Храм во имя Святителя Николая;Шувалово, улица Береговая.
Храм святителя Николая Чудотворца в селе Никольское;Гатчинский район, село Никольское
Храм Святой Живоначальной Троицы в Ораниенбауме (восстанавливается);город Ломоносов, улица Оранжерейная д. 19, литер А
